"cd_tipologia_rischio","dt_inizio_validita","ds_tipologia_rischio","aliquota_percipiente","aliquota_ente","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"5100","2013-02-16T00:00:00.000","ATTIVIT? DI FALEGNAMERIA 70/1000","2.333334","4.666667","2200-12-31T01:00:00.000","2013-02-15T11:11:52.000","COLLACCHIP","2013-02-15T11:11:52.000","COLLACCHIP","1"
"722/1","2007-01-01T00:00:00.000","ATTIVITA' AMMINISTRATIVA TASSO 4/MILLE","0.133334","0.266666","2200-12-31T01:00:00.000","2007-02-06T13:19:45.000","COLLACCHIP","2007-02-06T13:20:07.000","COLLACCHIP","2"
"612/1","2007-01-01T00:00:00.000","ATTIVITA' DI RICERCA TASSO 7/MILLE","0.233334","0.466666","2200-12-31T01:00:00.000","2007-02-06T13:00:24.000","COLLACCHIP","2007-02-06T13:00:48.000","COLLACCHIP","2"
"611/1","2007-01-01T00:00:00.000","CORSO DI FORMAZIONE TASSO 9/MILLE","0.300000","0.600000","2200-12-31T01:00:00.000","2007-02-06T12:54:01.000","COLLACCHIP","2011-03-07T10:36:50.000","COLLACCHIP","3"
"612/2","2007-01-01T00:00:00.000","ATTIVITA' DI RICERCA TASSO 10/MILLE","0.333334","0.666666","2013-02-15T00:00:00.000","2007-02-06T13:02:14.000","COLLACCHIP","2013-02-15T10:52:49.000","COLLACCHIP","2"
"5100","2007-01-01T00:00:00.000","ATTIVITA' DI FALEGNAMERIA TASSO 90/MILLE","3.000000","6.000000","2013-02-15T00:00:00.000","2007-02-06T13:22:44.000","COLLACCHIP","2013-02-15T11:11:52.000","COLLACCHIP","5"
"3620","2007-01-01T00:00:00.000","IMPIANTISTICA INDUSTRIALE TASSO 50/MILLE","1.666667","3.333333","2011-03-07T00:00:00.000","2007-02-06T13:27:59.000","COLLACCHIP","2011-03-07T11:04:52.000","COLLACCHIP","3"
"311","2007-01-01T00:00:00.000","MEDICI ED INFERMIERI - ANALISI CLINICHE, IGIENE E PROFILASSI TASSO 11/MILLE","0.366667","0.733333","2200-12-31T01:00:00.000","2007-02-06T13:32:13.000","COLLACCHIP","2011-03-07T10:51:09.000","COLLACCHIP","3"
"723","2007-01-01T00:00:00.000","USO DI VEICOLI A MOTORE TASSO 11/MILLE","0.366667","0.733333","2011-03-07T00:00:00.000","2007-02-06T13:33:51.000","COLLACCHIP","2011-03-07T11:07:54.000","COLLACCHIP","2"
"612/5","2011-01-01T00:00:00.000","ATTIVITA' DI RICERCA 12/MILLE","0.400000","0.800000","2200-12-31T01:00:00.000","2011-03-07T11:03:40.000","COLLACCHIP","2011-03-07T11:03:40.000","COLLACCHIP","1"
"722","2007-01-01T00:00:00.000","ATTIVITA' AMMINISTRATIVA TASSO 5/MILLE","0.166667","0.333333","2200-12-31T01:00:00.000","2007-02-06T13:07:25.000","COLLACCHIP","2011-03-07T10:33:56.000","COLLACCHIP","2"
"612/4","2011-01-01T00:00:00.000","ATTIVITA' DI RICERCA 15/MILLE","0.500000","1.000000","2200-12-31T01:00:00.000","2011-03-07T11:02:45.000","COLLACCHIP","2011-03-07T11:02:45.000","COLLACCHIP","1"
"3620/1","2007-01-01T00:00:00.000","IMPIANTISTICA INDUSTRIALE 39/1000","1.300000","2.600000","2200-12-31T01:00:00.000","2007-02-06T13:29:45.000","COLLACCHIP","2011-03-07T10:50:46.000","COLLACCHIP","3"
"612/3","2007-01-01T00:00:00.000","ATTIVITA' DI RICERCA TASSO 6/MILLE","0.200000","0.400000","2200-12-31T01:00:00.000","2007-02-06T13:05:04.000","COLLACCHIP","2011-03-07T10:55:43.000","COLLACCHIP","3"
"7100","2011-01-01T00:00:00.000","GEOLOGIA E MINERARIA","2.666670","5.333330","2011-12-31T01:00:00.000","2011-03-07T10:46:08.000","COLLACCHIP","2011-03-07T10:46:08.000","COLLACCHIP","1"
"01","1999-01-01T00:00:00.000","NO INAIL","0.000000","0.000000","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
