"pg_tipologia","ds_tipologia","utcr","dacr","utuv","duva","pg_ver_rec"
"1","Stato","SI_SF","2007-04-26T00:00:00.000","SI_SF","2007-05-02T00:00:00.000","1"
"2","Enti di previdenza pubblici","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"3","Enti di previdenza privati","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"4","Regioni","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"5","Comuni","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"6","Provincie","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"7","Citt? Metropolitane","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"8","Comunit? Montane","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"9","Unioni di Comuni","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"10","Aziende Sanitarie","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"11","Aziende ospedaliere","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"12","Aziende ospedaliero-universitarie pubbliche","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"13","Aziende ospedaliero-universitarie private","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"14","Istituti di ricovero e cura a carattere scientifico pubblico (IRCCS)","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"15","Istituti Zooprofilattici","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"16","Enti di Ricerca pubblici","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"17","Enti di Ricerca privati","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"18","Camere di Commercio","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"19","Autorit? portuali","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"20","Aziende di promozione turistica","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"21","Universit? pubbliche","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"22","Universit? private","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"23","Enti Parco Nazionali","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"24","Altre Pubbliche Amministrazioni Locali","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"25","Altre Pubbliche Amministrazioni Centrali","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"26","Unione Europea","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"27","Altri Organismi Internazionali pubblici","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"28","Altri Organismi Internazionali privati","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"29","Imprese pubbliche","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"30","Imprese private","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"31","Istituzioni sociali private","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
"32","Famiglie","SI_SF","2007-04-27T15:46:17.000","SI_SF","2007-04-27T15:46:17.000","1"
