"cd_trattamento","cd_contributo_ritenuta","dt_inizio_validita","id_riga","segno","calcolo_imponibile","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"T016SC","IRAP","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","3"
"T085","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T089","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090","IVA","2002-01-01T00:00:00.000","003","+","+001E+002E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019C","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T020C","RIVALSA2","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021C","RAIRPEF","2002-01-01T00:00:00.000","003","-","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T025C","RIVALSA2","2002-01-01T00:00:00.000","002","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048","IVA","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048","RAIRPEF","2002-01-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T085","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T089","RIVALSA2","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090","RIVALSA2","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T091","IVA","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T016","IRAP","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","3"
"T016","RAIRPEF","2002-01-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019C","RAIRPEF","2002-01-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019C","RIVALSA2","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T020C","IVA","2002-01-01T00:00:00.000","003","+","+001E+002E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T020C","RAIRPEF","2002-01-01T00:00:00.000","004","-","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
