"cd_unita_misura","ds_unita_misura","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"CI","CURIE","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2008-07-15T09:47:24.000","FIORETTOT","1"
"MLT","MICROLT","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2008-08-26T13:12:34.000","FIORETTOT","1"
"BQ","BEQUEREL","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2008-08-26T13:12:34.000","FIORETTOT","1"
"NR","Numero","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-08-27T11:47:50.000","SYSTEM","1"
"N","Numero","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:13:57.000","SYSTEM","1"
"N.","Numero","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:13:58.000","SYSTEM","1"
"SC","Scatole","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:13:59.000","SYSTEM","1"
"FG","Unit? di misura FG","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:00.000","SYSTEM","1"
"GR","Unit? di misura GR","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:00.000","SYSTEM","1"
"KG","Unit? di misura KG","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:00.000","SYSTEM","1"
"CM","Unit? di misura CM","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:00.000","SYSTEM","1"
"MT","Unit? di misura MT","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:02.000","SYSTEM","1"
"LT","Unit? di misura LT","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:02.000","SYSTEM","1"
"ML","Unit? di misura ML","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:07.000","SYSTEM","1"
"MG","Unit? di misura MG","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:09.000","SYSTEM","1"
"gr","Unit? di misura gr","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2001-10-08T16:14:16.000","SYSTEM","1"
"MC","UNITA' DI MISURA MC","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2002-01-21T13:31:39.000","SYSTEM","1"
"CF","CONFEZIONE","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2002-02-05T09:29:04.000","SYSTEM","1"
"MCI",".","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2005-03-07T13:48:10.000","FIORETTOT","1"
"UC",".","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2005-03-07T13:47:53.000","FIORETTOT","1"
"UCI",".","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2005-03-07T13:48:23.000","FIORETTOT","1"
"MBQ",".","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2005-03-07T13:48:33.000","FIORETTOT","1"
"VA","VIALS","NULL","2017-04-20T16:48:43.000","MIGRAZIONE","2005-03-09T11:38:31.000","FIORETTOT","1"
