"cd_unita_operativa","ds_unita_operativa","cd_unita_organizzativa","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"DIP.AMPP1.4","Cancerogenesi Sper.e Comput.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T12:55:09.000","FIORETTOT","1"
"SA.BIL","R.E. Uff. I Bilancio","000.000","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2017-10-09T16:59:01.000","PVILLANI","2"
"SA.BRE","R.E. Uff. V Brevetti","000.000","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2017-05-03T15:24:30.000","GGASPARRO","6"
"SA.FISC","R.E. Uff. III Fiscale","000.000","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:21:54.000","FIORETTOT","1"
"SP.71","R.U. Uff. IV Trattamento Econo","000.000","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:35:57.000","FIORETTOT","1"
"SP.LEG","R.U. Uff. Affari Legali","000.000","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:35:57.000","FIORETTOT","1"
"DIP.AMPP1.5","Chimica Tossicologica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:46:26.000","FIORETTOT","1"
"DIP.AMPP1.6","Epidemiologia Ambientale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:55:48.000","FIORETTOT","1"
"DIP.AMPP1.7","Epidemiologia Molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:55:48.000","FIORETTOT","1"
"DIP.AMPP1.8","Esposizione e Rischio da Mater","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:55:48.000","FIORETTOT","1"
"DIP.AMPP1.9","Igiene dell'Aria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:55:48.000","FIORETTOT","1"
"DIP.AMPP1.10","Igiene delle Acque Interne","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T14:55:48.000","FIORETTOT","1"
"DIP.AMPP1.11","Microb. Virol. Amb. e Wellness","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2011-10-18T12:39:14.000","LANCIOTTI","1"
"DIP.AMPP1.12","Meccanismi di Tossicit?","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.AMPP1.13","Qualit? Ambientale ed Ittiocol","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.AMPP1.14","Qualit? Ambienti Acq.e Acq.Bal","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.AMPP1.15","Sostanze e Preparati Pericolos","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.AMPP1.16","Suolo e Rifiuti","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.AMPP1.17","Tossicologia Genetica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T15:25:48.000","FIORETTOT","1"
"DIP.BICN1.1","App.zioni Cliniche Terapie Bio","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2012-01-31T14:56:51.000","LANCIOTTI","1"
"DIP.BICN1.2","Biomarcator.Patol.Degenerative","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:44:40.000","FIORETTOT","1"
"DIP.BICN1.3","Cl.Diagnostica.Terap.Malat.SNC","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:45:59.000","FIORETTOT","1"
"DIP.BICN1.4","Imaging Molecolare Cellulare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:44:40.000","FIORETTOT","1"
"DIP.BICN1.6","Immunoterapia Sperimentale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2012-01-31T14:57:40.000","LANCIOTTI","1"
"DIP.BICN1.7","Malt.Infiam.Demielinizzanti SN","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:44:40.000","FIORETTOT","1"
"DIP.BICN1.8","Metabol. Endocri.Molecol.Cell.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:44:40.000","FIORETTOT","1"
"DIP.BICN1.9","Neurobiologia Molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:44:40.000","FIORETTOT","1"
"DIP.BICN1.11","Neuroscienze Comportamentali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:37:38.000","FIORETTOT","1"
"DIP.SAAA1.1","Profilassi e Controllo delle Z","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.SAAA1.2","Zoonosi Trasmesse da Alimenti ","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.SAAA1.3","Encefalopatie Spongiformi Tras","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.SAAA1.4","Rischio Chimico nella Filiera ","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.SAAA1.6","Valutazione dei Prodotti Immun","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.SAAA1.7","Laboratorio Comunitario di Rif","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-16T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.1","Epidemiologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.2","Patogenesi Molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.3","Immunit? antinfettiva","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.4","Malattie trasmesse da vettori ","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.6","Epatiti virali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.7","Malattie virali e vaccini inat","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.8","Malattie virali e vaccini atte","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.9","Malattie Batt.Respirat.e Sist.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:27:36.000","FIORETTOT","1"
"DIP.MIPI1.11","Malattie Batt.Gastro e Tissut.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:27:36.000","FIORETTOT","1"
"DIP.MIPI1.12","Micosi superficiali e sistemic","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.13","Malattie immunomediate","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.MIPI1.14","Vaccini batterici","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"PI.MALATTIE","Punto Istruttore Malattie","000.009","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2008-05-29T15:49:03.000","FIORETTOT","1"
"DIP.MIPI1.15","Prodotti biologici","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"FA.24.4","Farmacologia renale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FA.24.5","Neurofarmacologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FA.24.6","Psicofarmacologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FA.24.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FARMACOPE.A6","SEGR. TECNICA FARMACOPEA UFFIC","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2001-10-10T11:57:19.000","SYSTEM","1"
"FI.26","Lab. FISICA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"FI.26.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.1","Biofisica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.2","Fisica atomica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.3","Fisica biomedica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.4","Fisica degli stati aggregati","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.5","Fisica nucleare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.6","Fisica teorica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.7","Radioattivit?","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FI.26.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28","Lab. FISIOPATOLOGIA DI ORGANO","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"FOS.28.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.1","Fisiopatologia cardiovascolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.2","Fisiopatologia equ. Idro-salin","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.3","Fisiopatologia neurocomportame","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.4","Neurobiologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.5","Psicologia comparata","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
