"cd_unita_organizzativa","ds_unita_organizzativa","cd_proprio_unita","cd_tipo_unita","fl_cds","fl_uo_cds","fl_rubrica","livello","prc_copertura_obblig_2","prc_copertura_obblig_3","cd_responsabile","cd_responsabile_amm","fl_presidente_area","dacr","utcr","duva","utuv","pg_ver_rec","cd_unita_padre","cd_area_ricerca","esercizio_fine","esercizio_inizio","cd_area_scientifica","id_funzione_pubblica"
"001","DRAG - Direzione centrale affari generali","001","IST","Y","N","NULL","1","NULL","NULL","NULL","NULL","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","NULL","2100","2017","NULL","NULL"
"001.000","DRAG - Direzione centrale affari generali","000","IST","N","Y","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","001","NULL","2100","2017","NULL","NULL"
"999.000","UO ENTE","000","ENTE","N","Y","Y","2","NULL","NULL","1","NULL","N","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","999","NULL","2100","2017","NULL","NULL"
"999","ENTE","999","ENTE","Y","N","NULL","1","NULL","NULL","1","NULL","N","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","NULL","2100","2017","NULL","NULL"
"000.001","PRE - Presidenza","001","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.002","DG - Direzione Generale","002","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.003","ORG - Organi","003","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.004","CNS - Centro nazionale sangue","004","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.005","CNT - Centro nazionale trapianti","005","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.006","DAMSA - Dipartimento ambiente e salute","006","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
