"cd_utente","cd_unita_organizzativa","cd_accesso","utuv","dacr","utcr","duva","pg_ver_rec"
"PVILLANI","000.000","AMMINVENTTABRIDINVEM","ISSTUTTO","2017-10-09T17:57:38.000","ISSTUTTO","2017-10-09T17:57:38.000","1"
"CDS001","*","CFGANAGCFCOREAMMICFM","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGANAGCFCOREAMMICFV","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGSTRORGCORECDRAMMM","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGSTRORGCORECDRAMMV","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZETIPORUOM","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZETIPORUOV","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZECOREUCOMUNV","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZECOREACCRUOV","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZECOREUCOMUNM","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"CDS001","*","CFGUTENZECOREACCRUOM","SUPERUTENTE","2017-05-18T15:01:03.000","SUPERUTENTE","2017-05-18T15:01:03.000","1"
"MSPASIANO","000.000","AMMINVENTTABRIDINVEM","ISSTUTTO","2017-10-09T17:54:38.000","ISSTUTTO","2017-10-09T17:54:38.000","1"
"CDS002","*","CFGANAGCFCOREAMMICFM","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
"CDS002","*","CFGANAGCFCOREAMMICFV","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
"CDS002","*","CFGSTRORGCORECDRAMMM","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
"CDS002","*","CFGSTRORGCORECDRAMMV","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
"CDS002","*","CFGUTENZETIPORUOM","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
"CDS002","*","CFGUTENZETIPORUOV","SUPERUTENTE","2017-05-18T15:03:19.000","SUPERUTENTE","2017-05-18T15:03:19.000","1"
