"cd_voce_iva","ds_voce_iva","percentuale","dt_inizio_validita","dt_cancellazione","fl_detraibile","percentuale_detraibilita","fl_non_imponibile","fl_esente","fl_non_soggetto","fl_escluso","ti_applicazione","cd_gruppo_iva","fl_intra","fl_autofattura","fl_bolla_doganale","fl_default_istituzionale","dacr","utcr","duva","utuv","pg_ver_rec","fl_iva_non_recuperabile","natura_oper_non_imp_sdi","rif_norm_oper_non_imp_sdi","fl_solo_italia","ti_bene_servizio","fl_obb_dichiarazione_intento"
"E32","Esente art. 32 bis dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2007-03-20T11:45:01.000","FIORETTOT","1","N","N4","NULL","N","*","N"
"21B","IVA 21%","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-09-19T10:19:14.000","PAPITTOM2","1","N","NULL","NULL","N","*","N"
"7QP","Fci art.7 Quinquies DPR 633/72","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-07-01T11:53:53.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QQ","Fci Art.7 Quater Dpr 633/72","20.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-07-01T11:53:53.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7TT","Imp.art.7 TER DPR 633/72","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-06-24T16:08:26.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"7QR","Fci Art.7 Quater Dpr 633/72","7.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-07-01T12:59:58.000","FIORETTOT","1","N","N2","NULL","N","*","N"
"7QD","Fci art.7 Quinquies DPR 633/72","17.50","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-08-11T12:24:02.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QM","Fci Art. 7 Quater Dpr 633/72","25.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-01-31T13:59:43.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QE","Fci Art. 7 Quater Dpr 633/72","12.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-02-16T11:10:16.000","MADEOMT","1","N","N2","NULL","N","*","N"
"E8C","Non imp.art.8comma 2 Dpr633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-05-04T17:23:57.000","MADEOMT","1","N","N3","NULL","N","*","Y"
